site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Internationaler Projektmanager Corporate Strategy (m/w/d),PENNY International (REWE Group),"Cologne, North Rhine-Westphalia, Germany",2026-08-13,https://www.linkedin.com/jobs/view/4453692992 , ,li-4453692992,fulltime,,,,,,False,associate,Project Management and Information Technology,,,Retail,https://de.linkedin.com/company/penny-international-rewe-group,,,,,,,,,,,
linkedin,Projektmanager (m/w/d) für internationale Premium-Innenausbauprojekte,Ganter Group,"Waldkirch, Baden-Württemberg, Germany",2026-08-10,https://www.linkedin.com/jobs/view/4451560458 , ,li-4451560458,fulltime,,,,,,False,mid-senior level,Project Management and Information Technology,,,Construction,https://de.linkedin.com/company/ganter-group,,,,,,,,,,,
linkedin,Technical Project Lead / System Engineer (all gender) | Secure Communications | Hardware & Software | International Projects 100,ALTEN Germany,"Hannover, Lower Saxony, Germany",2026-08-10,https://www.linkedin.com/jobs/view/4438071422 , ,li-4438071422,fulltime,,,,,,False,associate,"Engineering, Quality Assurance, and Information Technology",,,Machinery Manufacturing and Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/altengermany,,,,,,,,,,,
