site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Working Student - Industrial Design / Technical Illustration & Training Materials / Process Engineering (m/w/d) - REF93769B,Continental,"Hannover, Lower Saxony, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4404109478 , ,li-4404109478,parttime,,,,,,True,not applicable,Other,,,Automotive,https://de.linkedin.com/company/continental,,,,,,,,,,,
linkedin,Internship: Agentic AI for Telecom Research (m/f/d),Ericsson,"Herzogenrath, North Rhine-Westphalia, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4408649593 , ,li-4408649593,fulltime,,,,,,False,not applicable,Other,,,Telecommunications,https://se.linkedin.com/company/ericsson,,,,,,,,,,,
linkedin,Internship - NATO Space Operations Centre,NATO,"Miesenbach, Rhineland-Palatinate, Germany",2026-05-01,https://www.linkedin.com/jobs/view/4407652766 , ,li-4407652766,volunteer,,,,,,False,internship,Education and Training,,,International Affairs,https://be.linkedin.com/company/nato,,,,,,,,,,,
linkedin,Internship - Automotive Embedded System Engineering (f/m/div),Infineon Technologies,"Frankfurt, Hesse, Germany",,https://www.linkedin.com/jobs/view/4410579510 , ,li-4410579510,fulltime,,,,,,False,internship,Information Technology,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
