site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,(Sr.) ENGINEER FOR BRAKES ENGINEERING (M/F/D),Hyundai Motor Europe Technical Center GmbH,"Rüsselsheim, Hesse, Germany",2026-06-28,https://www.linkedin.com/jobs/view/4344757136 , ,li-4344757136,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/hyundaimotoreuropetechnicalcentergmbh,,,,,,,,,,,
linkedin,CAD Konstrukteur / Techniker (m/w/d),CleverMatch,"Frankfurt, Hesse, Germany",2026-06-28,https://www.linkedin.com/jobs/view/4344757572 , ,li-4344757572,fulltime,,,,,,False,mid-senior level,"Design, Art/Creative, and Information Technology",,,Construction,https://de.linkedin.com/company/clevermatch,,,,,,,,,,,
linkedin,Mechanical Engineer (m/f/d),Sereact,"Stuttgart, Baden-Württemberg, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4412740542 , ,li-4412740542,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Software Development,https://de.linkedin.com/company/sereact,,,,,,,,,,,
linkedin,Design Engineer,The Weir Group PLC,"Baden-Baden, Baden-Württemberg, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4421178147 , ,li-4421178147,fulltime,,,,,,False,not applicable,Engineering and Information Technology,,,"Mining, Industrial Machinery Manufacturing, and Automation Machinery Manufacturing",https://uk.linkedin.com/company/the-weir-group,,,,,,,,,,,
linkedin,DevOps Engineer - AI-Ops / C++ Build Systems (m/w/d),Workwise,"Berlin, Berlin, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4405698065 , ,li-4405698065,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Software Development and IT Services and IT Consulting,https://de.linkedin.com/company/workwise-gmbh,,,,,,,,,,,
linkedin,Senior System Engineer – Citrix Plattform Operations (m/w/d),BWI GmbH,"Bonn, North Rhine-Westphalia, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4424734671 , ,li-4424734671,fulltime,,,,,,False,mid-senior level,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/bwi-gmbh,,,,,,,,,,,
linkedin,Senior System Engineer – Citrix Plattform Operations (m/w/d),BWI GmbH,"Munich, Bavaria, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4424757016 , ,li-4424757016,fulltime,,,,,,False,mid-senior level,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/bwi-gmbh,,,,,,,,,,,
linkedin,System Engineer,Haystack,"Oldenburg, Lower Saxony, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4430694489 , ,li-4430694489,fulltime,,,,,,False,mid-senior level,Information Technology,,,"Technology, Information and Internet",https://uk.linkedin.com/company/wearehaystack,,,,,,,,,,,
linkedin,"Hardware Dev Engr II , Industrial Robotics Group",Amazon,"Munich, Bavaria, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4424765481 , ,li-4424765481,fulltime,,,,,,False,mid-senior level,Manufacturing and Engineering,,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Senior DevOps Engineer,Apex.AI,"Munich, Bavaria, Germany",2026-06-27,https://www.linkedin.com/jobs/view/4434084443 , ,li-4434084443,fulltime,,,,,,False,not applicable,Engineering and Information Technology,,,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",https://www.linkedin.com/company/apex-ai,,,,,,,,,,,
