site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Praktikum (m/w/d) – Konstruktion und Analyse mechanischer Systeme,ABB,"Mannheim, Baden-Württemberg, Germany",2026-08-26,https://www.linkedin.com/jobs/view/4439852590 , ,li-4439852590,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Automation Machinery Manufacturing,https://ch.linkedin.com/company/abb,,,,,,,,,,,
linkedin,Praktikum in der Entwicklung von Fertigungstechnologien,Bosch,"Immenstadt, Bavaria, Germany",2026-08-26,https://www.linkedin.com/jobs/view/4457975130 , ,li-4457975130,fulltime,,,,,,False,internship,Engineering,,,Automotive,https://de.linkedin.com/company/bosch,,,,,,,,,,,
linkedin,WERKSTUDENT (M/W/D) ENTWICKLUNG & KONSTRUKTION,CTE Entwicklungen GmbH,"Augsburg, Bavaria, Germany",2026-08-26,https://www.linkedin.com/jobs/view/4459177039 , ,li-4459177039,parttime,,,,,,False,internship,Administrative,,,Engineering Services,https://de.linkedin.com/company/cteentwicklungengmbh,,,,,,,,,,,
linkedin,Werkstudent (w/m/d) - CNC-Fräsen/Konstruktion,1st Mould GmbH,"Pirna, Saxony, Germany",2026-08-25,https://www.linkedin.com/jobs/view/4458730621 , ,li-4458730621,parttime,,,,,,False,internship,Administrative,,,Plastics and Rubber Product Manufacturing,https://de.linkedin.com/company/1st-mould-gmbh,,,,,,,,,,,
linkedin,Student internship in the area of development testing/reliability ICE,Audi Revolut F1 Team,"Neuburg an der Donau, Bavaria, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4458191671 , ,li-4458191671,fulltime,,,,,,False,internship,Education and Training,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/audi-revolut-f1-team,,,,,,,,,,,
linkedin,Praktikum im Bereich Automotive,Oehmichen & Bürgers Industrieplanung GmbH,"Düsseldorf, North Rhine-Westphalia, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4458225827 , ,li-4458225827,fulltime,,,,,,False,internship,Management and Manufacturing,,,Engineering Services,https://de.linkedin.com/company/oub,,,,,,,,,,,
linkedin,Praktikum Sicherheitsprüfstände,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-08-23,https://www.linkedin.com/jobs/view/4363072025 , ,li-4363072025,fulltime,,,,,,False,internship,Education and Training,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,Praktikum Fahrsystem Erprobung & Integration,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-08-23,https://www.linkedin.com/jobs/view/4362286065 , ,li-4362286065,fulltime,,,,,,False,internship,Project Management and Information Technology,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,Praktikum Akustik-Versuch,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-08-22,https://www.linkedin.com/jobs/view/4363091338 , ,li-4363091338,fulltime,,,,,,False,internship,Education and Training,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,Praktikum Hardware-Test Elektroantriebe (w/m/d),Volkswagen Group,"Baunatal, Hesse, Germany",2026-08-21,https://www.linkedin.com/jobs/view/4456224192 , ,li-4456224192,fulltime,,,,,,False,entry level,Research,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/volkswagen-group,,,,,,,,,,,
linkedin,Praktikum Machine Learning Fahrsteuerung (w/m/d),Volkswagen Group,"Wolfsburg, Lower Saxony, Germany",2026-08-21,https://www.linkedin.com/jobs/view/4437991381 , ,li-4437991381,fulltime,,,,,,False,internship,Research,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/volkswagen-group,,,,,,,,,,,
linkedin,Intern (m/f/d) Development Engineer,Rocket Factory Augsburg - RFA,"Augsburg, Bavaria, Germany",2026-08-21,https://www.linkedin.com/jobs/view/4456277329 , ,li-4456277329,volunteer,,,,,,False,internship,Engineering and Information Technology,,,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/rfa-space,,,,,,,,,,,
linkedin,Praktikum Gesamtfahrzeug Performance & Verbrauch,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-08-21,https://www.linkedin.com/jobs/view/4361878428 , ,li-4361878428,fulltime,,,,,,False,internship,Human Resources,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,"Simulation and Optimization Engineer, International Engineering Programs",Amazon,"Berlin, Germany",,https://www.linkedin.com/jobs/view/4459864965 , ,li-4459864965,fulltime,,,,,,False,not applicable,"Project Management, Management, and Product Management",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Praktikant / Werkstudent (m/w/d) im Bereich Entwicklung - Brennstoffzelle (ab September 2026),Dana Incorporated,"Neu Ulm, Bavaria, Germany",,https://www.linkedin.com/jobs/view/4404362593 , ,li-4404362593,fulltime,,,,,,False,internship,Administrative,,,Motor Vehicle Manufacturing,https://www.linkedin.com/company/dana-incorporated,,,,,,,,,,,
