site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,International Graduate Trainee - focus on mathematics/actuarial science (m/f/d)* 1,Munich Re,"Munich, Bavaria, Germany",2026-08-12,https://www.linkedin.com/jobs/view/4453122148 , ,li-4453122148,fulltime,,,,,,False,entry level,Finance,,,Insurance,https://de.linkedin.com/company/munich-re,,,,,,,,,,,
linkedin,"Applied Scientist, EU International Technologies",Amazon,"Berlin, Germany",2026-08-11,https://www.linkedin.com/jobs/view/4443041312 , ,li-4443041312,fulltime,,,,,,False,not applicable,"Research, Science, and Engineering",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Postdoc (m/f/d) -  internal,Forschungsverbund Berlin e.V.,"Berlin, Berlin, Germany",2026-08-11,https://www.linkedin.com/jobs/view/4452197983 , ,li-4452197983,fulltime,,,,,,False,mid-senior level,Research,,,Research Services,https://de.linkedin.com/company/forschungsverbund-berlin,,,,,,,,,,,
linkedin,Master Thesis - Ultra -Wideband Benchmarking (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",2026-08-11,https://www.linkedin.com/jobs/view/4452456388 , ,li-4452456388,fulltime,,,,,,False,internship,Education and Training,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,"Thesis: ""Commissioning and Test Operation of a Reverse Osmosis Test Rig""",Fraunhofer-Institut für Solare Energiesysteme ISE,"Freiburg, Baden-Württemberg, Germany",2026-08-10,https://www.linkedin.com/jobs/view/4451194312 , ,li-4451194312,fulltime,,,,,,True,entry level,Education and Training,,,Research,https://de.linkedin.com/company/fraunhofer-ise-freiburg,,,,,,,,,,,
linkedin,Abschlussarbeit im Bereich Entwicklung Scheibenbremse,Knorr-Bremse AG,"Aldersbach, Bavaria, Germany",2026-08-07,https://www.linkedin.com/jobs/view/4448783700 , ,li-4448783700,fulltime,,,,,,False,entry level,Other,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/knorr-bremse,,,,,,,,,,,
linkedin,Abschlussarbeit (m/w/d) Konzeption und Erprobung von edelmetallfreien Katalysatoren für die AEM-Elektrolyse zur Herstellung von grünem Wasserstoff,Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg (ZSW),"Stuttgart, Baden-Württemberg, Germany",,https://www.linkedin.com/jobs/view/4452769480 , ,li-4452769480,fulltime,,,,,,False,internship,Administrative,,,Research Services,https://de.linkedin.com/company/zsw-bw,,,,,,,,,,,
linkedin,Upcoming PhD Positions at the International Max Planck Research School for Functional Material Desig,Max Planck Institute of Colloids and Interfaces,"Potsdam, Brandenburg, Germany",,https://www.linkedin.com/jobs/view/4453389966 , ,li-4453389966,internship,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Research Services,https://de.linkedin.com/company/max-planck-institute-of-colloids,,,,,,,,,,,
