site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,ASIC Design Verification Technical Lead,microTECH Global LTD,"Heilbronn, Baden-Württemberg, Germany",2026-07-23,https://www.linkedin.com/jobs/view/4444450646 , ,li-4444450646,fulltime,,,,,,False,mid-senior level,Engineering,,,Semiconductor Manufacturing,https://uk.linkedin.com/company/microtech-global,,,,,,,,,,,
linkedin,FPGA Engineer – Quantum Computing (f/m/d),eleQtron,"Hamburg, Hamburg, Germany",2026-07-23,https://www.linkedin.com/jobs/view/4424726740 , ,li-4424726740,fulltime,,,,,,False,mid-senior level,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/eleqtron-qc,,,,,,,,,,,
linkedin,FPGA-Designer:in,Tintschl Unternehmensgruppe,"Hürth, North Rhine-Westphalia, Germany",2026-07-23,https://www.linkedin.com/jobs/view/4444427902 , ,li-4444427902,fulltime,,,,,,False,associate,Engineering and Design,,,IT Services and IT Consulting and Staffing and Recruiting,https://de.linkedin.com/company/tintschlunternehmensgruppe,,,,,,,,,,,
linkedin,Digital ASIC Verification Engineer (f/m/div.),Bosch,"Dresden, Saxony, Germany",2026-07-22,https://www.linkedin.com/jobs/view/4443134120 , ,li-4443134120,fulltime,,,,,,False,associate,Information Technology,,,Semiconductors,https://de.linkedin.com/company/bosch,,,,,,,,,,,
linkedin,Senior Hardware Compute Architect (f/m/d),Black Semiconductor,"Aachen, North Rhine-Westphalia, Germany",2026-07-22,https://www.linkedin.com/jobs/view/4443901197 , ,li-4443901197,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Semiconductor Manufacturing,https://de.linkedin.com/company/black-semiconductor,,,,,,,,,,,
linkedin,Field-Programmable Gate Arrays Engineer,agap2 Germany,"Bavaria, Germany",2026-07-22,https://www.linkedin.com/jobs/view/4443111559 , ,li-4443111559,fulltime,,,,,,False,associate,Engineering and Project Management,,,Business Consulting and Services,https://de.linkedin.com/company/agap2-germany,,,,,,,,,,,
linkedin,Kirby Entwickler / Programmierer (m/w/d),SCHOKOLADENSEITE.net Visuelle Kommunikation GmbH,"Hamburg, Hamburg, Germany",2026-07-22,https://www.linkedin.com/jobs/view/4443912627 , ,li-4443912627,fulltime,,,,,,True,entry level,Engineering and Information Technology,,,Advertising Services,https://de.linkedin.com/company/schokoladenseite-net-visuelle-kommunikation-gmbh,,,,,,,,,,,
linkedin,ASIC Digital Design Expert (f/m/div),Bosch,"Munich, Bavaria, Germany",2026-07-22,https://www.linkedin.com/jobs/view/4443114951 , ,li-4443114951,fulltime,,,,,,False,associate,Engineering,,,Semiconductors,https://de.linkedin.com/company/bosch,,,,,,,,,,,
linkedin,Lead Application Engineer,IC Resources,"Bavaria, Germany",2026-07-21,https://www.linkedin.com/jobs/view/4443540456 , ,li-4443540456,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Staffing and Recruiting,https://uk.linkedin.com/company/icresources,,,,,,,,,,,
linkedin,Finance Manager - Entwicklung zum Finance Lead - Gute Gesellschaft (All Gender),INSTINCT3,"Berlin, Berlin, Germany",2026-07-21,https://www.linkedin.com/jobs/view/4440458966 , ,li-4440458966,contract,,,,,,False,associate,Accounting/Auditing,,,Software Development,https://de.linkedin.com/company/instinct3,,,,,,,,,,,
